id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
9m727-cruise-missile-from-the-iskander-k-missile-system,9M727 Cruise Missile From The Iskander K Missile System,[],"[""RU""]",RU,missile,unknown,38,https://war-sanctions.gur.gov.ua/en/page-9m727-cruise-missile-from-the-iskander-k-missile-system,[],,2026-06-13,Auto-registered from GUR component listing
geran-3-uav,Geran 3 UAV,[],"[""RU""]",RU,loitering_munition,unknown,45,https://war-sanctions.gur.gov.ua/en/page-geran-3-uav,[],,2026-06-13,Auto-registered from GUR component listing
uav-shahed-136-13678,UAV Shahed 136 13678,[],"[""RU""]",IR,loitering_munition,unknown,37,https://war-sanctions.gur.gov.ua/en/page-uav-shahed-136-13678,[],,2026-06-13,Auto-registered from GUR component listing
uav-shahed-136-13084,UAV Shahed 136 13084,[],"[""RU""]",IR,loitering_munition,unknown,33,https://war-sanctions.gur.gov.ua/en/page-uav-shahed-136-13084,[],,2026-06-13,Auto-registered from GUR component listing
corsair-uav,Corsair UAV,[],"[""UNK""]",UNK,unknown,unknown,161,https://war-sanctions.gur.gov.ua/en/page-corsair-uav,[],,2026-06-13,Auto-registered from GUR component listing
uav-bm-35,UAV Bm 35,[],"[""UNK""]",UNK,unknown,unknown,41,https://war-sanctions.gur.gov.ua/en/page-uav-bm-35,[],,2026-06-13,Auto-registered from GUR component listing
kh-59m2-m2a-missile,Kh-59M2 M2A Missile,[],"[""RU""]",RU,missile,unknown,37,https://war-sanctions.gur.gov.ua/en/page-kh-59m2-m2a-missile,[],,2026-06-13,Auto-registered from GUR component listing
delta-cbts-611000-sample-no-2,Delta Cbts 611000 Sample No 2,[],"[""UNK""]",UNK,unknown,unknown,16,https://war-sanctions.gur.gov.ua/en/page-delta-cbts-611000-sample-no-2,[],,2026-06-13,Auto-registered from GUR component listing
delta-cbts-611000-sample-no-1,Delta Cbts 611000 Sample No 1,[],"[""UNK""]",UNK,unknown,unknown,14,https://war-sanctions.gur.gov.ua/en/page-delta-cbts-611000-sample-no-1,[],,2026-06-13,Auto-registered from GUR component listing
shahed-136-geran-2-ms001,Shahed 136 Geran 2 Ms001,[],"[""RU""]",IR,loitering_munition,unknown,74,https://war-sanctions.gur.gov.ua/en/page-shahed-136-geran-2-ms001,[],,2026-06-13,Auto-registered from GUR component listing
fiber-optic-uav-knyaz-vandal-novgorodsky,Fiber Optic UAV Knyaz Vandal Novgorodsky,[],"[""UNK""]",UNK,unknown,unknown,12,https://war-sanctions.gur.gov.ua/en/page-fiber-optic-uav-knyaz-vandal-novgorodsky,[],,2026-06-13,Auto-registered from GUR component listing
barrage-munition-with-artificial-intelligence-v2u,Barrage Munition With Artificial Intelligence V2U,[],"[""UNK""]",UNK,unknown,unknown,21,https://war-sanctions.gur.gov.ua/en/page-barrage-munition-with-artificial-intelligence-v2u,[],,2026-06-13,Auto-registered from GUR component listing
tornado-c-9m544-mlrs-guided-missile,Tornado C 9M544 Mlrs Guided Missile,[],"[""RU""]",RU,missile,unknown,20,https://war-sanctions.gur.gov.ua/en/page-tornado-c-9m544-mlrs-guided-missile,[],,2026-06-13,Auto-registered from GUR component listing
uav-fenix-tail-number-20385,UAV Fenix Tail Number 20385,[],"[""UNK""]",UNK,unknown,unknown,37,https://war-sanctions.gur.gov.ua/en/page-uav-fenix-tail-number-20385,[],,2026-06-13,Auto-registered from GUR component listing
s8000-banderol-cruise-missile,S8000 Banderol Cruise Missile,[],"[""UNK""]",UNK,unknown,unknown,23,https://war-sanctions.gur.gov.ua/en/page-s8000-banderol-cruise-missile,[],,2026-06-13,Auto-registered from GUR component listing
electronic-computing-machine-baguet-83v-from-the-x-47-kinzhal-missile,Electronic Computing Machine Baguet 83V From The X 47 Kinzhal Missile,[],"[""RU""]",RU,missile,unknown,58,https://war-sanctions.gur.gov.ua/en/page-electronic-computing-machine-baguet-83v-from-the-x-47-kinzhal-missile,[],,2026-06-13,Auto-registered from GUR component listing
uav-supercam-s350-tail-number-2308s350ffc53535,UAV Supercam S350 Tail Number 2308S350Ffc53535,[],"[""UNK""]",UNK,unknown,unknown,35,https://war-sanctions.gur.gov.ua/en/page-uav-supercam-s350-tail-number-2308s350ffc53535,[],,2026-06-13,Auto-registered from GUR component listing
uav-shahed-136-use-in-2025,UAV Shahed 136 Use In 2025,[],"[""RU""]",IR,loitering_munition,unknown,15,https://war-sanctions.gur.gov.ua/en/page-uav-shahed-136-use-in-2025,[],,2026-06-13,Auto-registered from GUR component listing
gerbera-uav-tail-number-748,Gerbera UAV Tail Number 748,[],"[""UNK""]",UNK,unknown,unknown,10,https://war-sanctions.gur.gov.ua/en/page-gerbera-uav-tail-number-748,[],,2026-06-13,Auto-registered from GUR component listing
geran-2-shahed-136-8465,Geran 2 Shahed 136 8465,[],"[""RU""]",IR,loitering_munition,unknown,39,https://war-sanctions.gur.gov.ua/en/page-geran-2-shahed-136-8465,[],,2026-06-13,Auto-registered from GUR component listing
tornado-c-9m549-mlrs-guided-missile-researched-in-december-2024,Tornado C 9M549 Mlrs Guided Missile Researched In December 2024,[],"[""RU""]",RU,missile,unknown,28,https://war-sanctions.gur.gov.ua/en/page-tornado-c-9m549-mlrs-guided-missile-researched-in-december-2024,[],,2026-06-13,Auto-registered from GUR component listing
crp-antenna-of-uav-shahed-136,Crp Antenna Of UAV Shahed 136,[],"[""RU""]",IR,loitering_munition,unknown,9,https://war-sanctions.gur.gov.ua/en/page-crp-antenna-of-uav-shahed-136,[],,2026-06-13,Auto-registered from GUR component listing
kh-101-missile,Kh-101 Missile,[],"[""RU""]",RU,missile,unknown,138,https://war-sanctions.gur.gov.ua/en/page-kh-101-missile,[],,2026-06-13,Auto-registered from GUR component listing
unified-interspecies-guided-munition-umpb,Unified Interspecies Guided Munition Umpb,[],"[""UNK""]",UNK,unknown,unknown,19,https://war-sanctions.gur.gov.ua/en/page-unified-interspecies-guided-munition-umpb,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-12686,UAV Geran 2 Shahed 136 12686,[],"[""RU""]",IR,loitering_munition,unknown,10,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-12686,[],,2026-06-13,Auto-registered from GUR component listing
supercam-s150-uav,Supercam S150 UAV,[],"[""UNK""]",UNK,unknown,unknown,35,https://war-sanctions.gur.gov.ua/en/page-supercam-s150-uav,[],,2026-06-13,Auto-registered from GUR component listing
fpv-drone-molniya-1,Fpv Drone Molniya 1,[],"[""UNK""]",UNK,fpv_strike,unknown,14,https://war-sanctions.gur.gov.ua/en/page-fpv-drone-molniya-1,[],,2026-06-13,Auto-registered from GUR component listing
uav-fenix,UAV Fenix,[],"[""UNK""]",UNK,unknown,unknown,33,https://war-sanctions.gur.gov.ua/en/page-uav-fenix,[],,2026-06-13,Auto-registered from GUR component listing
thermal-imaging-observation-device-tpn-1nm,Thermal Imaging Observation Device Tpn 1Nm,[],"[""UNK""]",UNK,unknown,unknown,10,https://war-sanctions.gur.gov.ua/en/page-thermal-imaging-observation-device-tpn-1nm,[],,2026-06-13,Auto-registered from GUR component listing
ballistic-missile-kn-23-kn-24,Ballistic Missile KN-23 KN-24,[],"[""RU""]",KP,missile,unknown,37,https://war-sanctions.gur.gov.ua/en/page-ballistic-missile-kn-23-kn-24,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-954,UAV Geran 2 Shahed 136 954,[],"[""RU""]",IR,loitering_munition,unknown,97,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-954,[],,2026-06-13,Auto-registered from GUR component listing
parodya-uav,Parodya UAV,[],"[""UNK""]",UNK,unknown,unknown,12,https://war-sanctions.gur.gov.ua/en/page-parodya-uav,[],,2026-06-13,Auto-registered from GUR component listing
gerbera-uav,Gerbera UAV,[],"[""UNK""]",UNK,unknown,unknown,29,https://war-sanctions.gur.gov.ua/en/page-gerbera-uav,[],,2026-06-13,Auto-registered from GUR component listing
uav-s-70-ohotnik,UAV S 70 Ohotnik,[],"[""UNK""]",UNK,unknown,unknown,30,https://war-sanctions.gur.gov.ua/en/page-uav-s-70-ohotnik,[],,2026-06-13,Auto-registered from GUR component listing
uav-lancet-3-tail-number-56-024z111-525,UAV Lancet 3 Tail Number 56 024Z111 525,[],"[""RU""]",RU,loitering_munition,unknown,31,https://war-sanctions.gur.gov.ua/en/page-uav-lancet-3-tail-number-56-024z111-525,[],,2026-06-13,Auto-registered from GUR component listing
uav-shahed-131,UAV Shahed 131,[],"[""RU""]",IR,loitering_munition,unknown,2602,https://war-sanctions.gur.gov.ua/en/page-uav-shahed-131,[],,2026-06-13,Auto-registered from GUR component listing
unit-ca249e-of-the-t-231-2a-communication-channel-classification-equipment,Unit Ca249E Of The T 231 2A Communication Channel Classification Equipment,[],"[""UNK""]",UNK,unknown,unknown,7,https://war-sanctions.gur.gov.ua/en/page-unit-ca249e-of-the-t-231-2a-communication-channel-classification-equipment,[],,2026-06-13,Auto-registered from GUR component listing
orlan-10-uav-no-14662,Orlan 10 UAV No 14662,[],"[""RU""]",RU,isr,unknown,58,https://war-sanctions.gur.gov.ua/en/page-orlan-10-uav-no-14662,[],,2026-06-13,Auto-registered from GUR component listing
3m22-zircon-hypersonic-missile,3M22 Zircon Hypersonic Missile,[],"[""UNK""]",UNK,unknown,unknown,2,https://war-sanctions.gur.gov.ua/en/page-3m22-zircon-hypersonic-missile,[],,2026-06-13,Auto-registered from GUR component listing
lancet-uav,Lancet UAV,[],"[""RU""]",RU,loitering_munition,unknown,10,https://war-sanctions.gur.gov.ua/en/page-lancet-uav,[],,2026-06-13,Auto-registered from GUR component listing
forpost-r-uav,Forpost R UAV,[],"[""RU""]",RU,strike,unknown,79,https://war-sanctions.gur.gov.ua/en/page-forpost-r-uav,[],,2026-06-13,Auto-registered from GUR component listing
tornado-c-9m549-mlrs-guided-missile-researched-in-may-2024,Tornado C 9M549 Mlrs Guided Missile Researched In May 2024,[],"[""RU""]",RU,missile,unknown,8,https://war-sanctions.gur.gov.ua/en/page-tornado-c-9m549-mlrs-guided-missile-researched-in-may-2024,[],,2026-06-13,Auto-registered from GUR component listing
navigation-equipment-kometa-r8-of-the-9m723-1-iskander-m-missile,Navigation Equipment Kometa R8 Of The 9M723 1 Iskander M Missile,[],"[""RU""]",RU,missile,unknown,3,https://war-sanctions.gur.gov.ua/en/page-navigation-equipment-kometa-r8-of-the-9m723-1-iskander-m-missile,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-1311,UAV Geran 2 Shahed 136 1311,[],"[""RU""]",IR,loitering_munition,unknown,29,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-1311,[],,2026-06-13,Auto-registered from GUR component listing
jammer-from-the-kinzhal-aviation-missile-system-codename-s200a1-2,Jammer From The Kinzhal Aviation Missile System Codename S200A1 2,[],"[""RU""]",RU,missile,unknown,5,https://war-sanctions.gur.gov.ua/en/page-jammer-from-the-kinzhal-aviation-missile-system-codename-s200a1-2,[],,2026-06-13,Auto-registered from GUR component listing
guided-missile-r-77,Guided Missile R 77,[],"[""UNK""]",UNK,unknown,unknown,59,https://war-sanctions.gur.gov.ua/en/page-guided-missile-r-77,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-1276,UAV Geran 2 Shahed 136 1276,[],"[""RU""]",IR,loitering_munition,unknown,69,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-1276,[],,2026-06-13,Auto-registered from GUR component listing
satellite-navigation-equipment-14-821-7524225841,Satellite Navigation Equipment 14 821 7524225841,[],"[""UNK""]",UNK,unknown,unknown,29,https://war-sanctions.gur.gov.ua/en/page-satellite-navigation-equipment-14-821-7524225841,[],,2026-06-13,Auto-registered from GUR component listing
glonass-gps-receiver-orion-14c8009-no-b0063018886,Glonass GPS Receiver Orion 14C8009 No B0063018886,[],"[""RU""]",RU,strike,unknown,7,https://war-sanctions.gur.gov.ua/en/page-glonass-gps-receiver-orion-14c8009-no-b0063018886,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-391,UAV Geran 2 Shahed 136 391,[],"[""RU""]",IR,loitering_munition,unknown,37,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-391,[],,2026-06-13,Auto-registered from GUR component listing
elins-personal-electronic-computing-machine,Elins Personal Electronic Computing Machine,[],"[""UNK""]",UNK,unknown,unknown,92,https://war-sanctions.gur.gov.ua/en/page-elins-personal-electronic-computing-machine,[],,2026-06-13,Auto-registered from GUR component listing
all-day-wearable-reconnaissance-device-vnpr-1pn142,All Day Wearable Reconnaissance Device Vnpr 1Pn142,[],"[""UNK""]",UNK,unknown,unknown,10,https://war-sanctions.gur.gov.ua/en/page-all-day-wearable-reconnaissance-device-vnpr-1pn142,[],,2026-06-13,Auto-registered from GUR component listing
uav-eleron-3sv,UAV Eleron 3Sv,[],"[""RU""]",RU,isr,unknown,25,https://war-sanctions.gur.gov.ua/en/page-uav-eleron-3sv,[],,2026-06-13,Auto-registered from GUR component listing
uav-mugin-5-pro,UAV Mugin 5 Pro,[],"[""UNK""]",UNK,unknown,unknown,16,https://war-sanctions.gur.gov.ua/en/page-uav-mugin-5-pro,[],,2026-06-13,Auto-registered from GUR component listing
portable-receiver-indicator-14-822-7522736875,Portable Receiver Indicator 14 822 7522736875,[],"[""UNK""]",UNK,unknown,unknown,24,https://war-sanctions.gur.gov.ua/en/page-portable-receiver-indicator-14-822-7522736875,[],,2026-06-13,Auto-registered from GUR component listing
radio-station-r-168-0-5um,Radio Station R 168 0 5Um,[],"[""UNK""]",UNK,ew,unknown,26,https://war-sanctions.gur.gov.ua/en/page-radio-station-r-168-0-5um,[],,2026-06-13,Auto-registered from GUR component listing
simulator-of-maneuverable-air-targets-type-e95m-eniks,Simulator Of Maneuverable Air Targets Type E95M Eniks,[],"[""UNK""]",UNK,unknown,unknown,31,https://war-sanctions.gur.gov.ua/en/page-simulator-of-maneuverable-air-targets-type-e95m-eniks,[],,2026-06-13,Auto-registered from GUR component listing
receiver-indicator-grot-n-index-14-820-no-7527730704,Receiver Indicator Grot N Index 14 820 No 7527730704,[],"[""UNK""]",UNK,unknown,unknown,25,https://war-sanctions.gur.gov.ua/en/page-receiver-indicator-grot-n-index-14-820-no-7527730704,[],,2026-06-13,Auto-registered from GUR component listing
tactical-terminal-tt-6-5-290287,Tactical Terminal Tt 6 5 290287,[],"[""UNK""]",UNK,unknown,unknown,25,https://war-sanctions.gur.gov.ua/en/page-tactical-terminal-tt-6-5-290287,[],,2026-06-13,Auto-registered from GUR component listing
unified-command-and-staff-vehicle-1b186,Unified Command And Staff Vehicle 1B186,[],"[""UNK""]",UNK,unknown,unknown,24,https://war-sanctions.gur.gov.ua/en/page-unified-command-and-staff-vehicle-1b186,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-59,Missile Kh-59,[],"[""RU""]",RU,missile,unknown,4,https://war-sanctions.gur.gov.ua/en/page-missile-kh-59,[],,2026-06-13,Auto-registered from GUR component listing
umpc,Umpc,[],"[""UNK""]",UNK,unknown,unknown,5,https://war-sanctions.gur.gov.ua/en/page-umpc,[],,2026-06-13,Auto-registered from GUR component listing
navigation-system-of-the-russian-made-shahed-136-uav,Navigation System Of The Russian Made Shahed 136 UAV,[],"[""RU""]",IR,loitering_munition,unknown,6,https://war-sanctions.gur.gov.ua/en/page-navigation-system-of-the-russian-made-shahed-136-uav,[],,2026-06-13,Auto-registered from GUR component listing
navigation-equipment-orion-sample-3,Navigation Equipment Orion Sample 3,[],"[""RU""]",RU,strike,unknown,8,https://war-sanctions.gur.gov.ua/en/page-navigation-equipment-orion-sample-3,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-101-3152631318006,Missile Kh-101 3152631318006,[],"[""RU""]",RU,missile,unknown,7,https://war-sanctions.gur.gov.ua/en/page-missile-kh-101-3152631318006,[],,2026-06-13,Auto-registered from GUR component listing
guided-missile-9m549-tornado-s-mlrs,Guided Missile 9M549 Tornado S Mlrs,[],"[""RU""]",RU,missile,unknown,5,https://war-sanctions.gur.gov.ua/en/page-guided-missile-9m549-tornado-s-mlrs,[],,2026-06-13,Auto-registered from GUR component listing
missile-3m-14-kalibr-produced-not-earlier-than-2021,Missile 3M 14 Kalibr Produced Not Earlier Than 2021,[],"[""RU""]",RU,missile,unknown,12,https://war-sanctions.gur.gov.ua/en/page-missile-3m-14-kalibr-produced-not-earlier-than-2021,[],,2026-06-13,Auto-registered from GUR component listing
small-sized-interference-transmitter-rp-377uvm1l,Small Sized Interference Transmitter Rp 377Uvm1L,[],"[""UNK""]",UNK,unknown,unknown,17,https://war-sanctions.gur.gov.ua/en/page-small-sized-interference-transmitter-rp-377uvm1l,[],,2026-06-13,Auto-registered from GUR component listing
kartograf-uav-2264,Kartograf UAV 2264,[],"[""UNK""]",UNK,unknown,unknown,4,https://war-sanctions.gur.gov.ua/en/page-kartograf-uav-2264,[],,2026-06-13,Auto-registered from GUR component listing
kartograf-uav,Kartograf UAV,[],"[""UNK""]",UNK,unknown,unknown,4,https://war-sanctions.gur.gov.ua/en/page-kartograf-uav,[],,2026-06-13,Auto-registered from GUR component listing
radio-station-r-392acm-arachis,Radio Station R 392Acm Arachis,[],"[""UNK""]",UNK,ew,unknown,53,https://war-sanctions.gur.gov.ua/en/page-radio-station-r-392acm-arachis,[],,2026-06-13,Auto-registered from GUR component listing
uav-lancet,UAV Lancet,[],"[""RU""]",RU,loitering_munition,unknown,28,https://war-sanctions.gur.gov.ua/en/page-uav-lancet,[],,2026-06-13,Auto-registered from GUR component listing
ballistic-missile-9m723-iskander-m,Ballistic Missile 9M723 Iskander M,[],"[""RU""]",RU,missile,unknown,34,https://war-sanctions.gur.gov.ua/en/page-ballistic-missile-9m723-iskander-m,[],,2026-06-13,Auto-registered from GUR component listing
shahed-238-uav,Shahed 238 UAV,[],"[""RU""]",IR,loitering_munition,unknown,29,https://war-sanctions.gur.gov.ua/en/page-shahed-238-uav,[],,2026-06-13,Auto-registered from GUR component listing
umpc-23-002-7876,Umpc 23 002 7876,[],"[""UNK""]",UNK,unknown,unknown,21,https://war-sanctions.gur.gov.ua/en/page-umpc-23-002-7876,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-101-3152638829015-used-on-02-01-2024,Missile Kh-101 3152638829015 Used On 02 01 2024,[],"[""RU""]",RU,missile,unknown,16,https://war-sanctions.gur.gov.ua/en/page-missile-kh-101-3152638829015-used-on-02-01-2024,[],,2026-06-13,Auto-registered from GUR component listing
kartograf-uav-3121,Kartograf UAV 3121,[],"[""UNK""]",UNK,unknown,unknown,32,https://war-sanctions.gur.gov.ua/en/page-kartograf-uav-3121,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-black,UAV Geran 2 Shahed 136 Black,[],"[""RU""]",IR,loitering_munition,unknown,8,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-black,[],,2026-06-13,Auto-registered from GUR component listing
supercam-s350-uav-2212s350sp19017,Supercam S350 UAV 2212S350Sp19017,[],"[""UNK""]",UNK,unknown,unknown,39,https://war-sanctions.gur.gov.ua/en/page-supercam-s350-uav-2212s350sp19017,[],,2026-06-13,Auto-registered from GUR component listing
granat-4-uav,Granat 4 UAV,[],"[""RU""]",RU,isr,unknown,71,https://war-sanctions.gur.gov.ua/en/page-granat-4-uav,[],,2026-06-13,Auto-registered from GUR component listing
missile-9m727-iskander-k-chernihiv-19-08-2023,Missile 9M727 Iskander K Chernihiv 19 08 2023,[],"[""RU""]",RU,missile,unknown,4,https://war-sanctions.gur.gov.ua/en/page-missile-9m727-iskander-k-chernihiv-19-08-2023,[],,2026-06-13,Auto-registered from GUR component listing
navigation-equipment-orion-sample-2,Navigation Equipment Orion Sample 2,[],"[""RU""]",RU,strike,unknown,2,https://war-sanctions.gur.gov.ua/en/page-navigation-equipment-orion-sample-2,[],,2026-06-13,Auto-registered from GUR component listing
portable-detector-of-non-contact-explosive-devices-900-900,Portable Detector Of Non Contact Explosive Devices 900 900,[],"[""UNK""]",UNK,unknown,unknown,14,https://war-sanctions.gur.gov.ua/en/page-portable-detector-of-non-contact-explosive-devices-900-900,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-59mk-2-4262652337019,Missile Kh-59Mk 2 4262652337019,[],"[""RU""]",RU,missile,unknown,42,https://war-sanctions.gur.gov.ua/en/page-missile-kh-59mk-2-4262652337019,[],,2026-06-13,Auto-registered from GUR component listing
uav-geran-2-shahed-136-k-series,UAV Geran 2 Shahed 136 K Series,[],"[""RU""]",IR,loitering_munition,unknown,44,https://war-sanctions.gur.gov.ua/en/page-uav-geran-2-shahed-136-k-series,[],,2026-06-13,Auto-registered from GUR component listing
missile-9m727-iskander-k,Missile 9M727 Iskander K,[],"[""RU""]",RU,missile,unknown,35,https://war-sanctions.gur.gov.ua/en/page-missile-9m727-iskander-k,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-47m2-kinzhal,Missile Kh-47M2 Kinzhal,[],"[""RU""]",RU,missile,unknown,102,https://war-sanctions.gur.gov.ua/en/page-missile-kh-47m2-kinzhal,[],,2026-06-13,Auto-registered from GUR component listing
components-from-other-kh-101-missiles,Components From Other Kh-101 Missiles,[],"[""RU""]",RU,missile,unknown,3,https://war-sanctions.gur.gov.ua/en/page-components-from-other-kh-101-missiles,[],,2026-06-13,Auto-registered from GUR component listing
inertial-measuring-unit-of-the-9m544-mlrs-tornado-s-missile,Inertial Measuring Unit Of The 9M544 Mlrs Tornado S Missile,[],"[""RU""]",RU,missile,unknown,5,https://war-sanctions.gur.gov.ua/en/page-inertial-measuring-unit-of-the-9m544-mlrs-tornado-s-missile,[],,2026-06-13,Auto-registered from GUR component listing
navigation-system-sn-99-produced-in-march-2023,Navigation System Sn 99 Produced In March 2023,[],"[""UNK""]",UNK,unknown,unknown,8,https://war-sanctions.gur.gov.ua/en/page-navigation-system-sn-99-produced-in-march-2023,[],,2026-06-13,Auto-registered from GUR component listing
orlan-10-uav-11333-may-2022,Orlan 10 UAV 11333 May 2022,[],"[""RU""]",RU,isr,unknown,35,https://war-sanctions.gur.gov.ua/en/page-orlan-10-uav-11333-may-2022,[],,2026-06-13,Auto-registered from GUR component listing
uav-mohajer-6,UAV Mohajer 6,[],"[""RU""]",IR,strike,unknown,137,https://war-sanctions.gur.gov.ua/en/page-uav-mohajer-6,[],,2026-06-13,Auto-registered from GUR component listing
