id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
eleron-3sv-uav,Eleron 3Sv UAV,[],"[""RU""]",RU,isr,unknown,18,https://war-sanctions.gur.gov.ua/en/page-eleron-3sv-uav,[],,2026-06-13,Auto-registered from GUR component listing
uav-e95m-air-target-type-no-816,UAV E95M Air Target Type No 816,[],"[""UNK""]",UNK,unknown,unknown,13,https://war-sanctions.gur.gov.ua/en/page-uav-e95m-air-target-type-no-816,[],,2026-06-13,Auto-registered from GUR component listing
strike-uav-kub,Strike UAV Kub,[],"[""RU""]",RU,loitering_munition,unknown,17,https://war-sanctions.gur.gov.ua/en/page-strike-uav-kub,[],,2026-06-13,Auto-registered from GUR component listing
satellite-communication-station-r-448-auriga-1-2v,Satellite Communication Station R 448 Auriga 1 2V,[],"[""UNK""]",UNK,unknown,unknown,12,https://war-sanctions.gur.gov.ua/en/page-satellite-communication-station-r-448-auriga-1-2v,[],,2026-06-13,Auto-registered from GUR component listing
portable-vhf-radio-station-r-168-5un-1-code-aqueduct-5un-1,Portable Vhf Radio Station R 168 5Un 1 Code Aqueduct 5Un 1,[],"[""UNK""]",UNK,ew,unknown,37,https://war-sanctions.gur.gov.ua/en/page-portable-vhf-radio-station-r-168-5un-1-code-aqueduct-5un-1,[],,2026-06-13,Auto-registered from GUR component listing
radio-station-r-392ak2m-arakhis,Radio Station R 392Ak2M Arakhis,[],"[""UNK""]",UNK,ew,unknown,21,https://war-sanctions.gur.gov.ua/en/page-radio-station-r-392ak2m-arakhis,[],,2026-06-13,Auto-registered from GUR component listing
portable-kh-vhf-radio-station-r-353nk-code-namotka-ks,Portable Kh-Vhf Radio Station R 353Nk Code Namotka Ks,[],"[""RU""]",RU,missile,unknown,107,https://war-sanctions.gur.gov.ua/en/page-portable-kh-vhf-radio-station-r-353nk-code-namotka-ks,[],,2026-06-13,Auto-registered from GUR component listing
hardware-machine-of-the-automated-mobile-complex-thorn-mdm,Hardware Machine Of The Automated Mobile Complex Thorn Mdm,[],"[""UNK""]",UNK,unknown,unknown,9,https://war-sanctions.gur.gov.ua/en/page-hardware-machine-of-the-automated-mobile-complex-thorn-mdm,[],,2026-06-13,Auto-registered from GUR component listing
kamaz-63968-typhoon-k-chassis-serial-number-639680h1353076,Kamaz 63968 Typhoon K Chassis Serial Number 639680H1353076,[],"[""UNK""]",UNK,unknown,unknown,51,https://war-sanctions.gur.gov.ua/en/page-kamaz-63968-typhoon-k-chassis-serial-number-639680h1353076,[],,2026-06-13,Auto-registered from GUR component listing
zsa-t-linza-no-z87539490-0000034,Zsa T Linza No Z87539490 0000034,[],"[""UNK""]",UNK,unknown,unknown,34,https://war-sanctions.gur.gov.ua/en/page-zsa-t-linza-no-z87539490-0000034,[],,2026-06-13,Auto-registered from GUR component listing
